,-1
0_X.dev.mapper.cloud..2.root_Iused,623.013462826916
0_pgscand.s,611.0143010780326
4_tcpsck,566.9016733288349
4_totsck,563.0499904662054
1_tcp6sck,536.3980885037024
1_totsck,529.5057380845044
3_pgpgin.s,518.0470521558477
4_X.dev.mapper.cloud..9.root_Iused,515.171320601137
3_X.dev.mapper.cloud..8.root_Iused,479.0141233438004
0_tcpsck,450.1868992299441
2_tcpsck,447.745576397577
0_totsck,446.7201369558864
2_totsck,442.644791152521
3_dev252.1_wr_sec.s,441.2392194072166
3_tcpsck,440.5604563867468
3_totsck,437.1506041308382
0_dev252.0_await,416.4826228158849
2_X.dev.mapper.cloud..7.root_Iused,404.30851865621736
5_dev252.0_await,401.49750781154404
0_dev252.0_tps,392.1881360847271
4_dev252.1_rd_sec.s,381.9538273805986
0_dev8.0_tps,379.02045281889855
0_dev8.5_tps,379.0187423200904
0_tps,378.8966946170137
0_i116_intr.s,378.3926750270849
0_rtps,374.41641593156953
5_X.dev.mapper.cloud..5.root_Iused,357.8761055198347
13_TxBytes,308.02088949614085
11_RxBytes,308.02088949614085
4_i117_intr.s,306.2533701656713
8_RxBytes,305.981388652559
28_TxBytes,305.8645331845468
5_i135_intr.s,298.82626108995225
2_i135_intr.s,294.3231543901416
5_rtps,291.7732602229324
3_dev252.0_await,284.5018897110956
5_dev8.5_tps,284.2562650877706
5_dev8.0_tps,280.594921269599
5_tps,280.384165446665
3_i126_intr.s,278.5622343182954
5_dev252.0_tps,277.51842694836233
5_i116_intr.s,277.062459126033
1_i126_intr.s,274.8672343591511
5_dev252.1_await,273.7661975050642
1_rtps,270.8563892420231
1_dev8.5_tps,269.03515633820126
1_dev8.0_tps,266.7851069946815
1_tps,266.67199029829226
2_dev252.1_avgqu.sz,266.6578366015812
1_dev252.0_tps,266.15743816935
1_i116_intr.s,263.9514867150696
2_dev252.1_rd_sec.s,251.25911119861308
1_dev252.1_rd_sec.s,248.60370826093748
4_dev252.0_tps,247.24747066765306
4_dev8.5_tps,244.9071153774207
4_tps,241.3683348504218
4_dev8.0_tps,241.3513338940566
4_i116_intr.s,237.9658378202124
0_i126_intr.s,236.22858160131253
4_rtps,233.35577445500033
1_dev252.0_await,226.8273187166151
3_dev8.5_await,214.84877186856284
3_dev8.0_await,212.6410115317075
2_dev8.5_tps,200.67444398511887
2_rtps,199.48761053473612
2_dev252.0_tps,198.822039479017
2_tps,197.51277706071824
2_dev8.0_tps,197.21516382431653
2_i116_intr.s,194.91617926062355
5_X..swpcad,187.12650369991485
0_pswpin.s,171.12878502281563
0_dev252.1_await,167.02028070747875
2_dev252.0_await,160.32776153084654
5_dev8.5_await,158.85949028916
5_dev8.0_await,156.86644136444613
2_X..vmeff,139.75409764130205
0_dev8.5_await,139.6435091733569
0_dev8.0_await,139.6348821456319
5_dev252.1_rd_sec.s,134.58489345212195
3_retrans.s_2,134.1628193850601
1_X..swpcad,132.07733705055182
0_bufpg.s,129.96458703473837
2_dev8.5_await,126.8095664737971
4_dev252.0_await,122.155382336046
2_dev8.0_await,122.11240234129878
4_bufpg.s,118.67402283042286
3_bufpg.s,117.17335874286954
4_X..vmeff,112.78363871192421
3_dev252.0_tps,111.46617608555766
5_X..vmeff,111.42759384070973
1_dev252.1_await,110.76773067984128
0_wtps,109.51404545394968
0_X..vmeff,105.60598002946537
4_wtps,99.8548882786128
5_bufpg.s,98.75735572161054
4_dev8.5_await,97.23062630063204
3_i116_intr.s,97.15955260261724
3_tps,94.29648305485647
3_dev8.0_tps,94.24634292463205
4_dev8.0_await,93.88246071472449
3_dev8.5_tps,93.81966201247887
3_wtps,91.87111287155051
1_dev8.5_await,88.32754107803181
1_dev8.0_await,87.2411407606163
1_bufpg.s,83.99442473652348
1_wtps,82.66329737566066
5_wtps,79.88036805743583
2_wtps,78.72278814533342
4_X..swpcad,77.42857804014467
1_X..vmeff,76.64997038336945
0_X..swpcad,70.75539787347773
1_retrans.s_2,69.03047400291733
4_retrans.s_2,65.84907174975876
4_dev252.1_await,65.14351942361016
2_dev252.1_wr_sec.s,64.71481440093115
5_retrans.s_2,61.53409262346711
3_dev8.0_svctm,60.69087530571004
2_retrans.s_2,60.05094276426035
2_bufpg.s,58.65818223296299
3_dev252.1_tps,57.1717458186944
3_pswpout.s,55.15490242590207
1_lo_rxpck.s,52.09636310986405
1_lo_txpck.s,52.09636310986405
0_retrans.s_2,51.01129607520402
3_rtps,50.99175346294929
3_dev252.0_.util,50.78716739213589
3_dev8.0_.util,50.77200263674647
4_dev8.0_.util,48.78466995681188
3_dev252.0_svctm,48.64205754795763
4_dev252.0_.util,47.92888300887435
4_pswpin.s,47.74418763768484
4_dev8.5_.util,46.786062856404904
3_dev8.5_svctm,45.96519995177698
4_dev8.0_svctm,45.22155086915793
3_dev252.1_rd_sec.s,45.20918657444683
2_X..swpcad,44.93124212963411
1_dev252.0_svctm,44.039035819445054
2_dev8.0_svctm,42.70665273975119
3_dev8.5_.util,42.47255764825743
0_dev8.0_.util,42.00756757342026
0_dev8.5_.util,42.001210093396786
4_dev8.5_svctm,41.57809934887727
4_dev252.0_svctm,41.43978789634878
0_dev252.0_.util,41.11762621494856
2_dev252.0_svctm,41.008878551091925
5_dev8.0_.util,40.482436182716356
2_dev8.5_svctm,40.39919573637823
5_dev252.0_.util,39.95558316834805
1_dev8.0_.util,39.08136868495587
1_dev252.0_.util,38.8771669375993
5_dev8.5_.util,38.82869116868489
2_dev8.0_.util,37.98133355488288
1_dev8.5_.util,37.91402315074253
2_dev252.0_.util,37.61434246287883
0_lo_rxpck.s,37.159967813500565
0_lo_txpck.s,37.159967813500565
2_dev8.5_.util,36.78352674624757
5_dev252.0_svctm,33.8954092595971
2_dev252.1_tps,33.594970046956846
4_plist.sz,31.35641672532682
2_pswpin.s,31.212261678636914
1_pswpin.s,31.075463532617185
0_cpu10_.iowait,30.4157127871915
2_plist.sz,30.237422867452093
3_passive.s,29.90144771281946
5_dev8.0_svctm,29.895045856595527
5_plist.sz,29.779821735745966
0_plist.sz,29.754811058815545
1_plist.sz,29.617193527194157
3_plist.sz,29.44072435335991
3_cpu0_.iowait,29.163817297341666
0_dev252.0_svctm,29.1290429115484
3_X..vmeff,27.112519599527303
1_passive.s,27.089914800630517
3_cpu13_.idle,26.863299459023143
5_dev8.5_svctm,26.358068359322413
1_dev8.0_svctm,25.61891128134425
2_cpu12_.sys,25.188115602870795
